dst,reflex18,reflex19,reflex20,reflex21,reflex22,reflex23
13191,4.608432907889678,4.439476533720943,4.175512036347569,4.6924469046289925,4.830087531723031,5.246808379560942
13193,3.620947109166533,3.2709953039184123,3.158560615305658,3.421277343119074,3.4504325953965425,4.007384423655335
13195,3.150677583470633,3.28894183091873,2.979737481151592,3.1502783855911463,3.2023008675026046,3.7144644959807573
13197,3.5208877141791897,3.220619730412266,3.1634157327292045,3.232482692965306,3.36091782246373,4.055434341954784
13199,3.5128530727258775,3.2521164506382134,3.124141566521973,3.27645726935322,3.357767512852931,3.90904975037715
13201,3.573140584848619,3.2346030703615036,3.0713908305233972,3.3417344200254195,3.5010395151742437,4.194868312582302
13205,3.538175887151282,3.2784180604872524,3.172064240628667,3.3664298837150146,3.4649828047473274,4.054632362168278
13207,4.5533708204490635,4.481484339262381,4.307010943479009,4.667794032459496,4.714884176294562,5.179992362601963
13209,3.1491676068209475,2.890019379652567,2.727232414878996,2.891729251905004,3.009095288235129,3.8808219138906814
13211,4.673844913955077,4.493526783940564,4.332200177892746,4.6470681757178784,4.701480211973355,5.26438197578691
13213,3.003513585060702,2.8618096378507585,2.7802447407940156,3.0249762575191275,3.0912163246430016,3.759286478355772
13215,3.6625890205958207,3.4223190407478437,2.984290374151813,3.2577585829304403,3.4047170447176494,4.22837461012189
13217,3.469102772342035,3.3157537363574328,3.282945643869517,3.68875949967618,3.6867467844406145,4.242572440393376
13219,3.487568891839948,3.3980560186876714,3.28204049643985,3.469326534618054,3.5662223004394074,4.079293877640767
13221,3.137780140497752,3.013440662214874,2.956657874217422,3.156533597547585,3.2273822015043505,3.7789004407239353
13223,2.875911418617818,2.7354326966708835,2.672934603228017,2.8378551644839076,2.8922809693909275,3.537515650522979
13225,3.819960373287016,3.56188561812451,3.438541497906983,4.392203766309416,4.636792479028564,5.18458106218766
13227,3.5127004960515475,3.292040558832442,3.179454321186555,3.4732675884570967,3.5593715120594336,4.147245460960802
13229,3.110396453338291,2.813253297509213,2.7330886923212536,2.9319253553201903,3.066588240322137,3.7531981297535686
13231,3.067639332113701,2.8271576324679164,2.721660516751315,2.788773070702162,2.90763178984555,3.6158427541313745
13233,2.9113075463203137,2.737990197208176,2.636509505183393,2.8202319595465526,2.8356567219428324,3.570641238356143
13235,3.4383903304410834,3.166096833436699,3.066900770790541,3.3127184878757703,3.36206906948681,3.8540882846776934
13237,4.069195793206678,3.8604600208071123,3.832589376531827,4.039531054405473,4.061276025824466,4.534091072685154
13239,3.814361792102288,3.5868561195360225,3.5792475880606136,3.6740395127096512,3.586174419056651,4.544003181585018
13241,4.656175749120428,4.423577687152297,4.43576805730306,4.576190163862625,4.591609109447133,4.976705197095358
13243,4.424759872934887,4.019901195289031,4.0105328192938785,4.295896227777912,4.344102698902399,4.80093787618858
13245,3.0110548209409447,2.7223282594356557,2.545854438710885,2.806936566016919,2.8928595405777453,3.867269402624602
13247,2.974110466900203,2.84373247746993,2.693787625677165,2.974062382628684,3.001554307241208,3.7078414982515056
13249,3.4121339843688054,3.203512836500104,2.9883687431062596,3.2046969221112502,3.395082862366067,3.9619104957895233
13251,3.178342223377213,2.8156749894854016,2.6633333158459878,2.8374142889632026,2.942055910800293,3.629607378925452
